video_id	title	duration	channel	upload_date	unlisted
UnDjokbZjbs	Affrontez-moi au morpion !	53	exclarrogatif	2026-05-12T07:04:30-07:00	false
65tS5PY8LdU	​	159	exclarrogatif	2026-05-04T03:02:51-07:00	true
9J3nwusXamY	​	72	exclarrogatif	2026-05-04T03:03:07-07:00	true
tXYhgZ_rXs8	​	66	exclarrogatif	2026-05-04T03:03:15-07:00	true
58X2c66QxPs	​	71	exclarrogatif	2026-05-04T03:03:21-07:00	true
YrnHq4A3-Hs	Créer une mosaïque avec PAS des légos ?!	586	exclarrogatif	2024-11-20T02:30:45-08:00	false
8rkyAPrJhYE	​	36	exclarrogatif	2026-05-04T03:03:28-07:00	true
UREboB8FcKw	​	42	exclarrogatif	2026-05-04T03:03:32-07:00	true
NEE8o5Q6Rkk	​	46	exclarrogatif	2026-05-08T02:19:57-07:00	true
acm9iqAA7Vc	​	41	exclarrogatif	2026-05-04T03:03:40-07:00	true
bVyQxzI1Dqo	​	46	exclarrogatif	2026-05-04T03:03:44-07:00	true
WlVbSyH5iTY	​	33	exclarrogatif	2026-05-04T03:03:49-07:00	true
f2DVcc8nVFk	​	35	exclarrogatif	2026-05-04T03:06:44-07:00	true
WAu74TcqNZA	​	49	exclarrogatif	2026-05-04T03:06:48-07:00	true
fgTC4JEJsGA	​	38	exclarrogatif	2026-05-04T03:06:53-07:00	true
VvnxfMq_0x0	​	38	exclarrogatif	2026-05-04T03:06:57-07:00	true
O8Mpt05cLc8	​	67	exclarrogatif	2026-05-06T02:25:59-07:00	true
4xtnXdZB9Ek	Calculer pi EN CUISINANT ? Ma méthode artisanale !	488	exclarrogatif	2024-03-14T00:00:03-07:00	false
4fAkgc--IWQ	​	37	exclarrogatif	2026-05-04T03:07:55-07:00	true
yQiJM3_rpAo	​	29	exclarrogatif	2026-05-04T03:07:59-07:00	true
Ar1-1upOz-A	​	45	exclarrogatif	2026-05-04T03:08:02-07:00	true
SvnZDAyBOSk	​	60	exclarrogatif	2026-05-04T03:11:57-07:00	true
pOak4ISlG1Y	​	40	exclarrogatif	2026-05-04T03:12:03-07:00	true
hFfEyuhO0Ls	​	35	exclarrogatif	2026-05-04T03:12:07-07:00	true
dzktMMgs5v4	​	39	exclarrogatif	2026-05-04T03:12:11-07:00	true
Ce_k5E5ifW4	​	40	exclarrogatif	2026-05-08T03:09:57-07:00	true
5v00E4RE9Cw	​	39	exclarrogatif	2026-05-04T03:07:01-07:00	true
N_cTpyxL15Q	​	143	exclarrogatif	2026-05-04T03:12:18-07:00	true
zig6bu8xtUs	​	30	exclarrogatif	2026-05-04T03:12:33-07:00	true
8rYwvoJRpug	​	39	exclarrogatif	2026-05-04T03:12:36-07:00	true
KTJJjTql-5o	​	28	exclarrogatif	2026-05-05T01:28:10-07:00	true
RaVErDpH5Cg	​	39	exclarrogatif	2026-05-04T03:12:44-07:00	true
8EWo8cwGgUU	​	34	exclarrogatif	2026-05-04T05:28:51-07:00	true
4gRai8MIuAY	​	56	exclarrogatif	2026-05-04T05:28:55-07:00	true
HfvHF9hoJT0	​	74	exclarrogatif	2026-05-07T07:16:51-07:00	true
FNBIM48DI5c	​	41	exclarrogatif	2026-05-08T03:10:09-07:00	true
uCOwuqiuqPw	​	51	exclarrogatif	2026-05-04T05:29:04-07:00	true
aT7dUdeKs2U	​	35	exclarrogatif	2026-05-04T05:29:08-07:00	true
T7ik67qfYVQ	​	55	exclarrogatif	2026-05-04T03:07:38-07:00	true
bDmHGdHSb2Y	​	41	exclarrogatif	2026-05-08T03:10:13-07:00	true
jgEbvhS80JM	​	33	exclarrogatif	2026-05-04T05:29:16-07:00	true
4_jcEhlSFHA	​	36	exclarrogatif	2026-05-04T05:29:19-07:00	true
obVLX-9i3Y4	​	41	exclarrogatif	2026-05-08T03:10:18-07:00	true
BKcKzhWRnzs	​	41	exclarrogatif	2026-05-08T03:10:21-07:00	true
XrZBsD34qj4	​	39	exclarrogatif	2026-05-04T05:29:29-07:00	true
TRCq7xeFTMk	​	36	exclarrogatif	2026-05-04T05:29:33-07:00	true
xz0VzzVh4Hk	​	35	exclarrogatif	2026-05-04T05:29:37-07:00	true
NTCptCs0q7o	​	27	exclarrogatif	2026-05-04T05:29:41-07:00	true
dnVjQbYSp7A	​	42	exclarrogatif	2026-05-08T03:10:26-07:00	true
0aQL9jfSPdc	​	41	exclarrogatif	2026-05-08T03:10:30-07:00	true
DhYkpHEvpek	​	43	exclarrogatif	2026-05-04T06:08:20-07:00	true
JyC6RJQ3PWY	​	41	exclarrogatif	2026-05-08T03:10:34-07:00	true
IDxR4G7DSig	​	31	exclarrogatif	2026-05-04T06:08:26-07:00	true
2QsyD5GWGnM	​	48	exclarrogatif	2026-05-06T02:26:07-07:00	true
dY_ZKGHeN8Q	​	72	exclarrogatif	2026-05-04T06:08:29-07:00	true
8otqvHAExrc	​	41	exclarrogatif	2026-05-08T03:10:38-07:00	true
54gc1STymz4	​	42	exclarrogatif	2026-05-08T03:10:43-07:00	true
YLmydj19cek	​	34	exclarrogatif	2026-05-04T06:08:43-07:00	true
-92TTcbPvHA	​	29	exclarrogatif	2026-05-04T06:08:46-07:00	true
ASlxa7x8g0I	​	52	exclarrogatif	2026-05-04T06:08:50-07:00	true
D31ufAb7I_Y	​	41	exclarrogatif	2026-05-08T03:10:47-07:00	true
1b6G4gyD4N0	​	41	exclarrogatif	2026-05-08T05:25:30-07:00	true
wv31xd90x8w	​	41	exclarrogatif	2026-05-08T05:25:34-07:00	true
cdFookHj08A	​	41	exclarrogatif	2026-05-08T05:25:39-07:00	true
RZ1s1apAV-s	​	41	exclarrogatif	2026-05-08T05:25:43-07:00	true
Jrb8hQBppxg	​	102	exclarrogatif	2026-05-05T01:05:40-07:00	true
hH-Up6PctDQ	​	31	exclarrogatif	2026-05-05T01:05:36-07:00	true
WFaTMwMYyc4	Pourquoi ces déformations sur les photos d&#39;athlétisme ?	470	exclarrogatif	2025-05-20T04:50:40-07:00	false
ZFCxZMLZrpA	​	48	exclarrogatif	2026-05-04T03:02:14-07:00	true
ihHkeCO8Dl8	​	33	exclarrogatif	2026-05-05T05:36:30-07:00	true
dTeI1JXNtiY	​	50	exclarrogatif	2026-05-05T05:36:33-07:00	true
8wwb01iwCYI	​	41	exclarrogatif	2026-05-08T05:26:01-07:00	true
-6ae02TE0n8	Pourquoi les boîtes de 13 œufs n&#39;existent pas? (même chez les aliens)	441	exclarrogatif	2025-10-27T07:47:21-07:00	false
OPhrkuoPyHk	​	57	exclarrogatif	2026-05-05T05:36:46-07:00	true
Fr_yt3N3W7I	​	35	exclarrogatif	2026-05-05T05:36:43-07:00	true
gDp1QPFbcnk	​	36	exclarrogatif	2026-05-05T05:36:53-07:00	true
v5_yNLUB2rI	​	33	exclarrogatif	2026-05-05T01:05:51-07:00	true
-cPNSN-reLc	​	32	exclarrogatif	2026-05-05T01:05:54-07:00	true
W6-ZZ0vtgnc	​	79	exclarrogatif	2026-05-04T03:07:05-07:00	true
L6uK4lSdafc	​	119	exclarrogatif	2026-05-05T01:05:58-07:00	true
pI3PjEv7EjU	​	52	exclarrogatif	2026-05-05T05:37:00-07:00	true
hkYpsr9T0j8	​	29	exclarrogatif	2026-05-05T05:36:56-07:00	true
clZpXNLZJ-I	​	41	exclarrogatif	2026-05-05T05:37:05-07:00	true
Nybqs50bPQo	​	33	exclarrogatif	2026-05-05T05:37:09-07:00	true
qwc-R6VZbTA	​	60	exclarrogatif	2026-05-05T05:37:20-07:00	true
j4fn51CfwIc	​	61	exclarrogatif	2026-05-05T05:37:13-07:00	true
0eBtlba_3yI	​	58	exclarrogatif	2026-05-05T01:06:21-07:00	true
plJ554i9pIw	​	43	exclarrogatif	2026-05-05T01:06:26-07:00	true
_a-YoU0uals	​	38	exclarrogatif	2026-05-04T03:07:47-07:00	true
X4WH-ZaBspk	​	42	exclarrogatif	2026-05-05T02:02:31-07:00	true
GViqPBT0EGc	​	49	exclarrogatif	2026-05-05T05:37:26-07:00	true
nWbIpmn9lsg	​	36	exclarrogatif	2026-05-05T05:37:36-07:00	true
2YMyrFuwo9Y	​	41	exclarrogatif	2026-05-08T05:26:09-07:00	true
VHO44NGxZAs	​	55	exclarrogatif	2026-05-05T05:43:56-07:00	true
Sb-n3JB7YME	​	51	exclarrogatif	2026-05-05T05:44:02-07:00	true
rkOoOqEwMIQ	​	48	exclarrogatif	2026-05-05T05:44:07-07:00	true
Xho5WcL5V7g	​	30	exclarrogatif	2026-05-05T05:44:12-07:00	true
EaNca2j6qWY	​	121	exclarrogatif	2026-05-05T05:44:16-07:00	true
LE5PWGkolXg	​	31	exclarrogatif	2026-05-05T05:44:32-07:00	true
iVWiiaM4ewc	​	35	exclarrogatif	2026-05-05T05:44:28-07:00	true
taFsGCNbxiw	​	54	exclarrogatif	2026-05-05T05:44:35-07:00	true
S3OJ7wk3sUw	​	70	exclarrogatif	2026-05-05T05:44:47-07:00	true
rMF1YvD29ww	​	64	exclarrogatif	2026-05-05T05:44:41-07:00	true
Uc0QxNu6BsI	​	59	exclarrogatif	2026-05-05T05:44:54-07:00	true
quT8maGtQFM	​	41	exclarrogatif	2026-05-08T05:26:14-07:00	true
hM3iD_wibyE	​	45	exclarrogatif	2026-05-05T05:45:00-07:00	true
b9PaDptesqg	​	63	exclarrogatif	2026-05-05T05:45:09-07:00	true
GjQhRWOdgL4	​	50	exclarrogatif	2026-05-05T05:45:15-07:00	true
l2sJq_iBPeE	​	61	exclarrogatif	2026-05-05T07:19:28-07:00	true
_u8KSgM-Ok4	​	42	exclarrogatif	2026-05-05T07:19:35-07:00	true
2B2_LtBK-QQ	​	37	exclarrogatif	2026-05-05T07:19:40-07:00	true
8EHRSTAyUY0	​	63	exclarrogatif	2026-05-05T07:19:44-07:00	true
FtrtLZgbAQk	​	48	exclarrogatif	2026-05-05T07:19:51-07:00	true
zonpHSNVppY	​	70	exclarrogatif	2026-05-06T02:26:11-07:00	true
Ta7deZ0gunQ	​	78	exclarrogatif	2026-05-05T07:19:56-07:00	true
lM_oCWjubuQ	​	73	exclarrogatif	2026-05-05T07:20:04-07:00	true
vQ4DPkdZvwQ	​	82	exclarrogatif	2026-05-05T07:20:11-07:00	true
MdJNMn-4v_g	​	84	exclarrogatif	2026-05-05T07:20:20-07:00	true
z9Ga7BeEAJk	​	49	exclarrogatif	2026-05-06T01:19:02-07:00	true
GhnaCRAcboM	​	51	exclarrogatif	2026-05-06T01:19:07-07:00	true
eisjXWCm-4E	​	99	exclarrogatif	2026-05-06T01:18:46-07:00	true
KT5kVqtCOzg	​	59	exclarrogatif	2026-05-06T01:18:56-07:00	true
GaPEymEw7T0	​	41	exclarrogatif	2026-05-08T05:25:57-07:00	true
e61D1J-ZjaI	On a tous dessiné cette petite maison. Voici son secret !	533	exclarrogatif	2026-03-24T08:05:26-07:00	false
zAy6U8A7kBo	​	83	exclarrogatif	2026-05-04T03:02:33-07:00	true
P8G9Khv9Ino	​	44	exclarrogatif	2026-05-08T05:25:48-07:00	true
46C3FFxtAgs	​	36	exclarrogatif	2026-05-05T01:06:14-07:00	true
GIWbe6NBczY	​	41	exclarrogatif	2026-05-08T05:25:52-07:00	true
GijIlneFBGE	​	123	exclarrogatif	2026-05-04T03:02:21-07:00	true
s_6Sx9sQQrw	​	95	exclarrogatif	2026-05-06T01:19:17-07:00	true
m-K9aOjQZkA	​	52	exclarrogatif	2026-05-06T01:19:12-07:00	true
